Name,ECTS,Link
Autonomous Systems of Expertise and Data Mining,2,https://ects.pg.edu.pl/en/subjects/322942/card.pdf
Numerical Methods in Automatic Control - laboratory,2,https://ects.pg.edu.pl/en/subjects/322947/card.pdf
Basics of Computer Control,4,https://ects.pg.edu.pl/en/subjects/322937/card.pdf
Microprocessor Technology,4,https://ects.pg.edu.pl/en/subjects/322945/card.pdf
Computer Systems Architecture - laboratory,1,https://ects.pg.edu.pl/en/subjects/322946/card.pdf
Programming Microcomputers,2,https://ects.pg.edu.pl/en/subjects/322938/card.pdf
Integrated Decision Systems,2,https://ects.pg.edu.pl/en/subjects/322939/card.pdf
Intelligent Robots,3,https://ects.pg.edu.pl/en/subjects/322940/card.pdf
Ethernet and IP Networks,1,https://ects.pg.edu.pl/en/subjects/330261/card.pdf
Team Project II,2,https://ects.pg.edu.pl/en/subjects/359466/card.pdf
BSc Diploma Project II,13,https://ects.pg.edu.pl/en/subjects/322574/card.pdf
Vocational Training,6,https://ects.pg.edu.pl/en/subjects/367292/card.pdf
Vocational Training,2,https://ects.pg.edu.pl/en/subjects/322916/card.pdf
Integrated Decision Systems II,1,https://ects.pg.edu.pl/en/subjects/322954/card.pdf
Basics of Cybernetics,2,https://ects.pg.edu.pl/en/subjects/322955/card.pdf
Genetic Algorithms,3,https://ects.pg.edu.pl/en/subjects/322958/card.pdf
Production Process Planning,4,https://ects.pg.edu.pl/en/subjects/322959/card.pdf
Programmable Digital Circuits,3,https://ects.pg.edu.pl/en/subjects/322956/card.pdf
BSc Diploma Seminar,2,https://ects.pg.edu.pl/en/subjects/322957/card.pdf
